filename,true_distance,prediction
10.478399292917924-0.jpg,3.73,-1
10.478399292917924-1.jpg,3.73,-1
10.478399292917924-2.jpg,3.73,-1
16.222342466751144-0.jpg,3.73,-1
16.222342466751144-1.jpg,3.73,-1
16.222342466751144-2.jpg,3.73,-1
23.075419120994496-0.jpg,3.73,-1
23.075419120994496-1.jpg,3.73,-1
23.075419120994496-2.jpg,3.73,-1
31.105941836296484-0.jpg,3.73,4.617025
31.105941836296484-1.jpg,3.73,4.720993
31.105941836296484-2.jpg,3.73,4.8784356
40.08415800758872-0.jpg,3.73,-1
40.08415800758872-1.jpg,3.73,-1
40.08415800758872-2.jpg,3.73,-1
49.466367680455825-0.jpg,3.73,-1
49.466367680455825-1.jpg,3.73,-1
49.466367680455825-2.jpg,3.73,-1
58.6285624589701-0.jpg,3.73,-1
58.6285624589701-1.jpg,3.73,-1
58.6285624589701-2.jpg,3.73,-1
67.073189197767-0.jpg,3.73,-1
67.073189197767-1.jpg,3.73,-1
67.073189197767-2.jpg,3.73,-1
